"member_number","itemDescription","purchase_year","item_price"
4651,photo film,2015,13
4243,sausage,2015,10
4429,grapes,2015,13
4645,domestic eggs,2015,8
4019,rolls buns,2015,4
4459,tropical fruit,2015,4
3006,chicken,2015,2
1834,frankfurter,2015,13
3236,berries,2015,4
2666,chocolate,2014,13
2717,fruit vegetable juice,2014,2
2717,fruit vegetable juice,2014,2
1095,shopping bags,2014,2
1480,bottled water,2014,11
2865,processed cheese,2014,14
1482,brown bread,2014,2
3184,berries,2014,4
1468,salty snack,2014,7
3888,butter,2014,8
3972,butter,2014,8
2967,oil,2014,1
3380,other vegetables,2014,11
2207,coffee,2014,8
3600,pickled vegetables,2014,9
2680,frozen meals,2014,12
1651,dishes,2014,14
2934,fruit vegetable juice,2014,2
2934,fruit vegetable juice,2014,2
2860,waffles,2014,7
1307,rolls buns,2014,4
4628,UHT-milk,2014,4
1240,shopping bags,2014,2
3666,bottled water,2014,11
4008,shopping bags,2014,2
3386,baking powder,2014,15
2472,sugar,2014,3
1323,whole milk,2014,12
1654,butter,2014,8
3620,berries,2014,4
4952,specialty chocolate,2014,8
3966,canned beer,2014,1
1964,other vegetables,2014,11
2504,waffles,2014,7
4500,cat food,2014,6
1454,fruit vegetable juice,2014,2
1454,fruit vegetable juice,2014,2
1066,bottled beer,2014,8
3692,salty snack,2014,7
2445,pastry,2014,15
1860,rolls buns,2014,4
1153,cake bar,2014,4
3317,soda,2014,2
1957,berries,2014,4
4303,specialty bar,2014,9
3556,brown bread,2014,2
1282,shopping bags,2014,2
4034,specialty bar,2014,9
2807,beverages,2014,4
2232,dessert,2014,6
2303,hair spray,2014,1
2050,rolls buns,2014,4
3381,coffee,2014,8
3402,coffee,2014,8
3072,dessert,2014,6
3381,hygiene articles,2014,1
1367,bottled beer,2014,8
1895,whipped sour cream,2014,6
3267,soda,2014,2
4192,canned beer,2014,1
2274,curd,2014,2
4430,whipped sour cream,2014,6
4329,dessert,2014,6
1922,whipped sour cream,2014,6
2154,onions,2014,3
4523,canned beer,2014,1
1136,flower (seeds),2014,15
3439,soda,2014,2
2980,shopping bags,2014,2
2509,other vegetables,2014,11
4845,fruit vegetable juice,2014,2
4845,fruit vegetable juice,2014,2
3589,fruit vegetable juice,2014,2
3589,fruit vegetable juice,2014,2
4505,other vegetables,2014,11
2744,frozen vegetables,2014,12
4236,curd,2014,2
3928,shopping bags,2014,2
1207,pickled vegetables,2014,9
2578,rolls buns,2014,4
1553,soda,2014,2
3942,yogurt,2014,2
1583,dessert,2014,6
2133,cat food,2014,6
4860,newspapers,2014,5
4548,onions,2014,3
2610,bottled beer,2014,8
2344,napkins,2014,12
2920,rolls buns,2014,4
3847,domestic eggs,2014,8
1991,butter,2014,8
2241,frozen vegetables,2014,12
2794,whole milk,2014,12
3871,salty snack,2014,7
3964,bottled water,2014,11
1111,flour,2014,2
1294,soda,2014,2
1338,whole milk,2014,12
1079,bottled water,2014,11
1794,yogurt,2014,2
4715,margarine,2014,3
4694,whipped sour cream,2014,6
4264,butter milk,2014,12
1732,canned beer,2014,1
1161,newspapers,2014,5
4058,flour,2014,2
4183,ice cream,2014,1
4371,canned beer,2014,1
1808,tropical fruit,2015,4
2552,whole milk,2015,12
2300,pip fruit,2015,12
1187,other vegetables,2015,11
3037,whole milk,2015,12
4941,rolls buns,2015,4
4501,other vegetables,2015,11
3803,pot plants,2015,1
2762,whole milk,2015,12
4119,tropical fruit,2015,4
1340,citrus fruit,2015,13
2193,beef,2015,13
1997,frankfurter,2015,13
4546,chicken,2015,2
4736,butter,2015,8
1959,fruit vegetable juice,2015,2
1959,fruit vegetable juice,2015,2
1974,packaged fruit vegetables,2015,9
2421,chocolate,2015,13
1513,specialty bar,2015,9
1905,other vegetables,2015,11
2810,butter milk,2015,12
2867,whole milk,2015,12
4313,newspapers,2014,5
1618,napkins,2014,12
3834,chocolate marshmallow,2014,4
4493,margarine,2014,3
2843,rolls buns,2014,4
2107,canned beer,2014,1
4157,frozen meals,2014,12
2714,yogurt,2015,2
2769,sparkling wine,2015,15
4166,bottled water,2015,11
3614,citrus fruit,2015,13
4361,hamburger meat,2015,9
1922,packaged fruit vegetables,2015,9
4728,other vegetables,2015,11
3646,soda,2015,2
1155,whole milk,2015,12
2119,herbs,2015,3
1602,citrus fruit,2015,13
1074,misc. beverages,2015,10
2256,female sanitary products,2015,1
2029,cake bar,2014,4
1122,dishes,2014,14
2993,shopping bags,2014,2
4938,mayonnaise,2014,5
2753,butter,2014,8
3450,soda,2014,2
4745,pastry,2014,15
2520,other vegetables,2014,11
1260,curd,2014,2
4121,other vegetables,2014,11
3145,candy,2014,10
3479,pastry,2014,15
1166,brown bread,2014,2
3021,onions,2014,3
2489,rolls buns,2014,4
3343,rolls buns,2014,4
3028,butter,2014,8
4866,soda,2014,2
4943,other vegetables,2014,11
1636,liquor (appetizer),2014,7
3593,rolls buns,2014,4
1383,whipped sour cream,2014,6
2545,whole milk,2014,12
4719,coffee,2014,8
2065,pastry,2014,15
2941,beverages,2014,4
4019,bottled water,2014,11
1407,domestic eggs,2014,8
2960,canned beer,2014,1
1343,other vegetables,2014,11
4715,softener,2014,10
3174,butter milk,2014,12
1623,rolls buns,2014,4
2506,chocolate,2014,13
4799,frozen fish,2014,14
2360,napkins,2014,12
4822,coffee,2014,8
1554,curd,2014,2
1867,frozen vegetables,2014,12
2148,domestic eggs,2014,8
3863,whipped sour cream,2014,6
1010,specialty bar,2014,9
2768,baking powder,2014,15
2218,pot plants,2014,1
3785,frozen fish,2014,14
4823,frozen meals,2014,12
1475,kitchen towels,2014,9
1052,grapes,2014,13
2565,jam,2014,10
4259,yogurt,2014,2
1061,hard cheese,2014,3
4001,soda,2014,2
3458,mustard,2014,10
2178,male cosmetics,2014,5
1995,yogurt,2014,2
2161,margarine,2014,3
3349,herbs,2014,3
3742,shopping bags,2014,2
1244,soda,2014,2
3609,rolls buns,2014,4
2375,dog food,2014,1
2974,frozen vegetables,2014,12
3030,whole milk,2014,12
3737,other vegetables,2014,11
3619,dessert,2014,6
3705,herbs,2014,3
3974,bottled water,2014,11
1798,hamburger meat,2014,9
3272,canned beer,2014,1
4272,coffee,2015,8
1120,pastry,2015,15
2676,rolls buns,2015,4
1697,misc. beverages,2015,10
2507,root vegetables,2015,11
4620,sausage,2015,10
3365,canned beer,2015,1
2978,ham,2015,6
2910,turkey,2015,2
1061,whole milk,2015,12
3276,whole milk,2015,12
1326,packaged fruit vegetables,2015,9
3023,rolls buns,2015,4
2185,ham,2015,6
3552,rolls buns,2015,4
1967,other vegetables,2015,11
4708,sausage,2015,10
2874,sausage,2015,10
4177,frankfurter,2015,13
1663,rolls buns,2015,4
2632,whole milk,2015,12
1377,curd cheese,2015,12
4162,red blush wine,2015,13
2270,sausage,2015,10
4829,tropical fruit,2015,4
3811,red blush wine,2015,13
4766,whole milk,2015,12
2436,frankfurter,2015,13
3860,whole milk,2015,12
1587,other vegetables,2015,11
4038,citrus fruit,2015,13
4750,flour,2015,2
1199,sugar,2015,3
1603,frozen meals,2015,12
3111,chocolate,2015,13
3894,root vegetables,2015,11
1456,root vegetables,2015,11
2022,herbs,2015,3
2505,bottled water,2015,11
4851,sausage,2015,10
4293,coffee,2015,8
2775,pork,2015,11
3693,berries,2015,4
1202,soda,2015,2
3699,berries,2015,4
4152,fruit vegetable juice,2015,2
4152,fruit vegetable juice,2015,2
4155,citrus fruit,2015,13
4010,pork,2015,11
4389,detergent,2015,7
3746,grapes,2015,13
2560,sausage,2015,10
1503,chicken,2015,2
2555,whole milk,2015,12
3645,citrus fruit,2015,13
3886,soda,2015,2
2932,sausage,2015,10
1711,frankfurter,2015,13
4291,sausage,2015,10
1143,soda,2015,2
4564,rolls buns,2015,4
3337,beef,2015,13
4931,whole milk,2015,12
2623,processed cheese,2015,14
4581,tropical fruit,2015,4
2635,frankfurter,2015,13
1095,packaged fruit vegetables,2015,9
2990,whole milk,2015,12
2426,berries,2015,4
4555,citrus fruit,2015,13
3635,tropical fruit,2015,4
3058,hamburger meat,2015,9
4391,hamburger meat,2015,9
1306,whole milk,2015,12
1295,frankfurter,2015,13
1661,packaged fruit vegetables,2015,9
4591,pastry,2015,15
3169,other vegetables,2015,11
3915,misc. beverages,2015,10
1127,frankfurter,2015,13
4828,sparkling wine,2015,15
3683,specialty bar,2015,9
1971,sausage,2015,10
3014,curd cheese,2015,12
3779,frankfurter,2015,13
2489,whole milk,2015,12
3564,newspapers,2015,5
4092,berries,2015,4
3221,curd,2015,2
1279,tropical fruit,2015,4
2581,soda,2015,2
2295,rolls buns,2015,4
4760,canned beer,2015,1
3649,canned beer,2015,1
1075,frankfurter,2015,13
3987,other vegetables,2015,11
4106,whole milk,2015,12
4338,whole milk,2015,12
4166,citrus fruit,2015,13
1211,frankfurter,2015,13
3954,frankfurter,2015,13
3928,butter milk,2015,12
3827,hamburger meat,2015,9
4699,pasta,2015,9
4747,other vegetables,2015,11
3028,sausage,2015,10
2851,rolls buns,2015,4
4417,grapes,2015,13
3822,root vegetables,2015,11
2288,coffee,2015,8
2184,popcorn,2015,6
4554,whole milk,2015,12
3361,tropical fruit,2015,4
2999,beef,2015,13
2614,whole milk,2015,12
4064,frankfurter,2015,13
3567,tropical fruit,2015,4
2587,canned beer,2015,1
1923,beverages,2015,4
4835,hamburger meat,2015,9
1514,whole milk,2015,12
1313,other vegetables,2015,11
2794,ham,2015,6
2359,other vegetables,2015,11
2238,curd,2015,2
3795,bottled beer,2015,8
3724,curd,2015,2
1152,whole milk,2015,12
4559,whole milk,2015,12
3922,dessert,2015,6
1709,sausage,2015,10
2219,other vegetables,2015,11
2206,ham,2015,6
1752,other vegetables,2015,11
3942,other vegetables,2015,11
3296,soda,2015,2
2257,herbs,2015,3
4313,frankfurter,2015,13
2001,rolls buns,2015,4
2449,curd,2015,2
4914,frankfurter,2015,13
2764,other vegetables,2015,11
4187,dog food,2015,1
1392,specialty bar,2015,9
3427,curd,2015,2
1411,frankfurter,2015,13
3390,soda,2015,2
4787,beef,2015,13
3310,canned beer,2015,1
1782,pork,2015,11
3375,frankfurter,2015,13
2760,sausage,2015,10
4249,canned beer,2015,1
2904,specialty chocolate,2015,8
4090,curd,2015,2
3060,canned beer,2015,1
3768,whole milk,2015,12
1232,rolls buns,2015,4
1360,pork,2015,11
1107,citrus fruit,2015,13
2865,pot plants,2015,1
2958,rolls buns,2015,4
2448,butter,2015,8
2943,sausage,2015,10
2270,whole milk,2015,12
3812,sausage,2015,10
1482,beverages,2015,4
4720,beverages,2015,4
1344,bottled water,2015,11
2397,newspapers,2015,5
4182,cleaner,2015,14
4487,sausage,2015,10
3467,newspapers,2015,5
2443,sausage,2015,10
2749,misc. beverages,2015,10
1674,sausage,2015,10
4262,meat,2015,14
2082,frankfurter,2015,13
4494,ice cream,2015,1
2460,canned beer,2015,1
4509,tropical fruit,2015,4
2267,meat,2015,14
4891,whole milk,2015,12
3962,sausage,2015,10
4964,frankfurter,2015,13
2914,meat,2015,14
2808,root vegetables,2015,11
1085,root vegetables,2015,11
3808,whole milk,2015,12
4149,citrus fruit,2015,13
2331,citrus fruit,2015,13
4475,other vegetables,2015,11
2761,citrus fruit,2015,13
2620,sausage,2015,10
3206,frankfurter,2015,13
1226,hard cheese,2015,3
2465,turkey,2015,2
3572,pork,2015,11
4387,whole milk,2015,12
1555,rolls buns,2015,4
1181,sausage,2015,10
2814,ice cream,2015,1
2794,liquor,2015,8
2912,pip fruit,2015,12
4667,root vegetables,2015,11
2235,soda,2015,2
2353,soda,2015,2
3449,sausage,2015,10
1058,root vegetables,2015,11
1027,pork,2015,11
3302,pork,2015,11
2229,chocolate,2015,13
2188,fruit vegetable juice,2015,2
2188,fruit vegetable juice,2015,2
1547,pickled vegetables,2015,9
1649,bottled water,2015,11
3254,frankfurter,2015,13
2818,tropical fruit,2015,4
2703,canned beer,2015,1
3332,root vegetables,2015,11
2473,meat,2015,14
2810,frankfurter,2015,13
1033,tropical fruit,2015,4
4222,tropical fruit,2015,4
3679,citrus fruit,2015,13
2212,hamburger meat,2015,9
1507,chicken,2015,2
2870,chicken,2015,2
3429,frankfurter,2015,13
4148,canned beer,2015,1
2970,turkey,2015,2
2013,packaged fruit vegetables,2015,9
3967,pasta,2015,9
2885,citrus fruit,2015,13
3935,sausage,2015,10
3283,whole milk,2015,12
3268,canned beer,2015,1
3677,citrus fruit,2015,13
3495,liquor (appetizer),2015,7
1410,citrus fruit,2015,13
2440,sausage,2015,10
4088,chicken,2015,2
2469,hamburger meat,2015,9
4229,sausage,2015,10
2728,beef,2015,13
4694,citrus fruit,2015,13
2836,UHT-milk,2015,4
1311,candy,2015,10
1760,newspapers,2015,5
3656,beef,2015,13
3720,sausage,2015,10
2996,frankfurter,2015,13
1949,canned beer,2015,1
4498,bottled beer,2015,8
2447,onions,2015,3
1952,tropical fruit,2015,4
4099,bottled water,2015,11
1804,beef,2015,13
1510,sausage,2015,10
2879,hair spray,2015,1
4899,chicken,2015,2
4326,pork,2015,11
1670,ice cream,2015,1
1117,meat,2015,14
1346,other vegetables,2015,11
1178,bottled water,2015,11
1649,tropical fruit,2015,4
4651,photo film,2015,13
4243,sausage,2015,10
4429,grapes,2015,13
4645,domestic eggs,2015,8
4019,rolls buns,2015,4
4459,tropical fruit,2015,4
3006,chicken,2015,2
1834,frankfurter,2015,13
3236,berries,2015,4
2666,chocolate,2014,13
2717,fruit vegetable juice,2014,2
2717,fruit vegetable juice,2014,2
1095,shopping bags,2014,2
1480,bottled water,2014,11
2865,processed cheese,2014,14
1482,brown bread,2014,2
3184,berries,2014,4
1468,salty snack,2014,7
3888,butter,2014,8
3972,butter,2014,8
2967,oil,2014,1
3380,other vegetables,2014,11
2207,coffee,2014,8
3600,pickled vegetables,2014,9
2680,frozen meals,2014,12
1651,dishes,2014,14
2934,fruit vegetable juice,2014,2
2934,fruit vegetable juice,2014,2
2860,waffles,2014,7
1307,rolls buns,2014,4
4628,UHT-milk,2014,4
1240,shopping bags,2014,2
3666,bottled water,2014,11
4008,shopping bags,2014,2
3386,baking powder,2014,15
2472,sugar,2014,3
1323,whole milk,2014,12
1654,butter,2014,8
3620,berries,2014,4
4952,specialty chocolate,2014,8
3966,canned beer,2014,1
1964,other vegetables,2014,11
2504,waffles,2014,7
4500,cat food,2014,6
1454,fruit vegetable juice,2014,2
1454,fruit vegetable juice,2014,2
1066,bottled beer,2014,8
3692,salty snack,2014,7
2445,pastry,2014,15
1860,rolls buns,2014,4
1153,cake bar,2014,4
3317,soda,2014,2
1957,berries,2014,4
4303,specialty bar,2014,9
3556,brown bread,2014,2
1282,shopping bags,2014,2
4034,specialty bar,2014,9
2807,beverages,2014,4
2232,dessert,2014,6
2303,hair spray,2014,1
2050,rolls buns,2014,4
3381,coffee,2014,8
3402,coffee,2014,8
3072,dessert,2014,6
3381,hygiene articles,2014,1
1367,bottled beer,2014,8
1895,whipped sour cream,2014,6
3267,soda,2014,2
4192,canned beer,2014,1
2274,curd,2014,2
4430,whipped sour cream,2014,6
4329,dessert,2014,6
1922,whipped sour cream,2014,6
2154,onions,2014,3
4523,canned beer,2014,1
1136,flower (seeds),2014,15
3439,soda,2014,2
2980,shopping bags,2014,2
2509,other vegetables,2014,11
4845,fruit vegetable juice,2014,2
4845,fruit vegetable juice,2014,2
3589,fruit vegetable juice,2014,2
3589,fruit vegetable juice,2014,2
4505,other vegetables,2014,11
2744,frozen vegetables,2014,12
4236,curd,2014,2
3928,shopping bags,2014,2
1207,pickled vegetables,2014,9
2578,rolls buns,2014,4
1553,soda,2014,2
3942,yogurt,2014,2
1583,dessert,2014,6
2133,cat food,2014,6
4860,newspapers,2014,5
4548,onions,2014,3
2610,bottled beer,2014,8
2344,napkins,2014,12
2920,rolls buns,2014,4
3847,domestic eggs,2014,8
1991,butter,2014,8
2241,frozen vegetables,2014,12
2794,whole milk,2014,12
3871,salty snack,2014,7
3964,bottled water,2014,11
1111,flour,2014,2
1294,soda,2014,2
1338,whole milk,2014,12
1079,bottled water,2014,11
1794,yogurt,2014,2
4715,margarine,2014,3
4694,whipped sour cream,2014,6
4264,butter milk,2014,12
1732,canned beer,2014,1
1161,newspapers,2014,5
4058,flour,2014,2
4183,ice cream,2014,1
4371,canned beer,2014,1
1808,tropical fruit,2015,4
2552,whole milk,2015,12
2300,pip fruit,2015,12
1187,other vegetables,2015,11
3037,whole milk,2015,12
4941,rolls buns,2015,4
4501,other vegetables,2015,11
3803,pot plants,2015,1
2762,whole milk,2015,12
4119,tropical fruit,2015,4
1340,citrus fruit,2015,13
2193,beef,2015,13
1997,frankfurter,2015,13
4546,chicken,2015,2
4736,butter,2015,8
1959,fruit vegetable juice,2015,2
1959,fruit vegetable juice,2015,2
1974,packaged fruit vegetables,2015,9
2421,chocolate,2015,13
1513,specialty bar,2015,9
1905,other vegetables,2015,11
2810,butter milk,2015,12
2867,whole milk,2015,12
3962,tropical fruit,2015,4
1088,tropical fruit,2015,4
4976,bottled water,2015,11
4056,yogurt,2015,2
3611,sausage,2015,10
1420,other vegetables,2015,11
4286,brown bread,2015,2
4918,yogurt,2015,2
4783,hamburger meat,2015,9
3709,root vegetables,2015,11
4289,pork,2015,11
1559,beef,2015,13
2900,pastry,2015,15
1905,fruit vegetable juice,2015,2
1905,fruit vegetable juice,2015,2
3527,canned beer,2015,1
1495,root vegetables,2015,11
3558,citrus fruit,2015,13
3128,sausage,2015,10
1863,tropical fruit,2015,4
3841,berries,2015,4
3903,canned beer,2015,1
2658,butter milk,2015,12
1348,soda,2015,2
3806,tropical fruit,2015,4
1711,soda,2015,2
1590,coffee,2015,8
1962,tropical fruit,2015,4
1766,pork,2015,11
2551,citrus fruit,2015,13
2294,frankfurter,2015,13
4531,frankfurter,2015,13
2957,frankfurter,2015,13
4415,other vegetables,2015,11
1476,yogurt,2015,2
3978,sausage,2015,10
2062,whole milk,2015,12
3252,pip fruit,2015,12
3922,whole milk,2015,12
1491,root vegetables,2015,11
3526,onions,2015,3
4060,specialty chocolate,2015,8
1067,hamburger meat,2015,9
2840,photo film,2015,13
4484,rolls buns,2015,4
2353,canned beer,2015,1
3130,canned beer,2015,1
4273,other vegetables,2015,11
4565,canned beer,2015,1
2504,curd,2015,2
4127,butter,2015,8
2690,other vegetables,2015,11
4129,whole milk,2015,12
4511,beef,2015,13
1602,sausage,2015,10
4369,soda,2015,2
1302,fruit vegetable juice,2015,2
1302,fruit vegetable juice,2015,2
3326,rolls buns,2015,4
2066,pip fruit,2015,12
3483,frozen vegetables,2015,12
2840,beverages,2015,4
1807,hamburger meat,2015,9
2067,root vegetables,2015,11
3783,canned beer,2015,1
2884,frozen vegetables,2015,12
2908,canned beer,2015,1
1330,newspapers,2015,5
2293,rolls buns,2015,4
3718,hamburger meat,2015,9
4338,pip fruit,2015,12
3486,canned beer,2015,1
3635,grapes,2015,13
2857,root vegetables,2015,11
3684,citrus fruit,2015,13
3120,cling film bags,2015,8
3495,whole milk,2015,12
2813,pip fruit,2015,12
2799,sugar,2015,3
4723,tropical fruit,2015,4
3313,root vegetables,2015,11
4748,soda,2015,2
2991,whole milk,2015,12
1483,tropical fruit,2015,4
1634,brown bread,2015,2
2694,tropical fruit,2015,4
2707,domestic eggs,2015,8
2813,coffee,2015,8
2276,soda,2015,2
4726,whole milk,2015,12
4353,bottled beer,2015,8
4017,pork,2015,11
1422,other vegetables,2015,11
4211,newspapers,2014,5
4899,rolls buns,2014,4
1890,flour,2014,2
3172,bottled beer,2014,8
1444,yogurt,2014,2
4758,butter,2014,8
3125,newspapers,2014,5
3258,yogurt,2014,2
4474,yogurt,2014,2
