"member_number","createDate","itemDescription","purchase_year","purchase_month","purchase_day","purchase_dow"
1383,"2014-03-24",whipped sour cream,2014,3,24,2
2545,"2014-05-26",whole milk,2014,5,26,2
4719,"2014-09-28",coffee,2014,9,28,1
2065,"2014-07-20",pastry,2014,7,20,1
2941,"2014-06-13",beverages,2014,6,13,6
4430,"2014-05-21",cream cheese ,2014,5,21,4
4019,"2014-05-18",bottled water,2014,5,18,1
1407,"2014-09-10",domestic eggs,2014,9,10,4
2960,"2014-09-03",canned beer,2014,9,3,4
1343,"2014-02-07",other vegetables,2014,2,7,6
4715,"2014-01-31",softener,2014,1,31,6
3174,"2014-11-10",butter milk,2014,11,10,2
1623,"2014-12-07",rolls buns,2014,12,7,1
2506,"2014-02-27",chocolate,2014,2,27,5
4799,"2014-04-01",frozen fish,2014,4,1,3
2360,"2014-07-09",napkins,2014,7,9,4
4822,"2014-08-21",coffee,2014,8,21,5
1554,"2014-02-04",curd,2014,2,4,3
1867,"2014-03-18",frozen vegetables,2014,3,18,3
2148,"2014-11-20",domestic eggs,2014,11,20,5
3863,"2014-07-19",whipped sour cream,2014,7,19,7
1010,"2014-08-23",specialty bar,2014,8,23,7
2768,"2014-05-05",baking powder,2014,5,5,2
2218,"2014-11-06",pot plants,2014,11,6,5
3785,"2014-08-16",frozen fish,2014,8,16,7
4823,"2014-01-05",frozen meals,2014,1,5,1
1475,"2014-03-05",kitchen towels,2014,3,5,4
1052,"2014-01-15",grapes,2014,1,15,4
2565,"2014-09-16",jam,2014,9,16,3
4259,"2014-07-23",yogurt,2014,7,23,4
1061,"2014-07-30",hard cheese,2014,7,30,4
4001,"2014-06-11",soda,2014,6,11,4
1620,"2014-07-21",cream cheese ,2014,7,21,2
3458,"2014-06-28",mustard,2014,6,28,7
2178,"2014-10-11",male cosmetics,2014,10,11,7
1995,"2014-06-14",yogurt,2014,6,14,7
2161,"2014-09-24",margarine,2014,9,24,4
3349,"2014-07-12",herbs,2014,7,12,7
3742,"2014-09-26",shopping bags,2014,9,26,6
1244,"2014-11-24",soda,2014,11,24,2
3609,"2014-05-13",rolls buns,2014,5,13,3
2375,"2014-03-31",dog food,2014,3,31,2
2974,"2014-05-24",frozen vegetables,2014,5,24,7
3030,"2014-12-06",whole milk,2014,12,6,7
3737,"2014-12-22",other vegetables,2014,12,22,2
3619,"2014-03-13",dessert,2014,3,13,5
3705,"2014-02-28",herbs,2014,2,28,6
3974,"2014-08-25",bottled water,2014,8,25,2
1798,"2014-10-06",hamburger meat,2014,10,6,2
3272,"2014-04-18",canned beer,2014,4,18,6
4272,"2015-06-06",coffee,2015,6,6,7
1120,"2015-09-26",pastry,2015,9,26,7
2676,"2015-08-15",rolls buns,2015,8,15,7
1697,"2015-05-21",misc. beverages,2015,5,21,5
2507,"2015-08-25",root vegetables,2015,8,25,3
4620,"2015-03-11",sausage,2015,3,11,4
3365,"2015-02-01",canned beer,2015,2,1,1
2978,"2015-06-05",ham,2015,6,5,6
2910,"2015-07-28",turkey,2015,7,28,3
1061,"2015-09-25",whole milk,2015,9,25,6
3276,"2015-04-03",whole milk,2015,4,3,6
1326,"2015-06-19",packaged fruit vegetables,2015,6,19,6
3023,"2015-07-28",rolls buns,2015,7,28,3
2185,"2015-10-11",ham,2015,10,11,1
3552,"2015-06-16",rolls buns,2015,6,16,3
1967,"2015-01-20",other vegetables,2015,1,20,3
4708,"2015-03-20",sausage,2015,3,20,6
2874,"2015-02-15",sausage,2015,2,15,1
4177,"2015-04-13",frankfurter,2015,4,13,2
1663,"2015-02-07",rolls buns,2015,2,7,7
2632,"2015-03-02",whole milk,2015,3,2,2
1377,"2015-03-14",curd cheese,2015,3,14,7
4162,"2015-12-22",red blush wine,2015,12,22,3
2270,"2015-07-01",sausage,2015,7,1,4
4829,"2015-11-03",tropical fruit,2015,11,3,3
3811,"2015-04-14",red blush wine,2015,4,14,3
4766,"2015-09-29",whole milk,2015,9,29,3
2436,"2015-04-12",frankfurter,2015,4,12,1
3860,"2015-05-05",whole milk,2015,5,5,3
4875,"2015-05-12",frozen potato products,2015,5,12,3
1587,"2015-07-01",other vegetables,2015,7,1,4
4038,"2015-07-08",citrus fruit,2015,7,8,4
4750,"2015-09-21",flour,2015,9,21,2
1199,"2015-12-10",sugar,2015,12,10,5
1603,"2015-09-30",frozen meals,2015,9,30,4
3111,"2015-01-31",chocolate,2015,1,31,7
3894,"2015-12-13",root vegetables,2015,12,13,1
1456,"2015-09-18",root vegetables,2015,9,18,6
2022,"2015-03-04",herbs,2015,3,4,4
2505,"2015-11-30",bottled water,2015,11,30,2
4851,"2015-12-20",sausage,2015,12,20,1
4293,"2015-08-04",coffee,2015,8,4,3
2775,"2015-11-06",pork,2015,11,6,6
3693,"2015-02-18",berries,2015,2,18,4
1202,"2015-07-22",soda,2015,7,22,4
3699,"2015-08-23",berries,2015,8,23,1
4152,"2015-04-15",fruit vegetable juice,2015,4,15,4
4155,"2015-01-26",citrus fruit,2015,1,26,2
4010,"2015-12-29",pork,2015,12,29,3
4389,"2015-10-22",detergent,2015,10,22,5
3746,"2015-08-17",grapes,2015,8,17,2
2560,"2015-05-17",sausage,2015,5,17,1
1503,"2015-07-25",chicken,2015,7,25,7
2555,"2015-12-23",whole milk,2015,12,23,4
3645,"2015-12-12",citrus fruit,2015,12,12,7
3886,"2015-09-11",soda,2015,9,11,6
2932,"2015-03-20",sausage,2015,3,20,6
1711,"2015-06-18",frankfurter,2015,6,18,5
4291,"2015-12-08",sausage,2015,12,8,3
1143,"2015-04-25",soda,2015,4,25,7
4564,"2015-07-08",rolls buns,2015,7,8,4
3337,"2015-05-14",beef,2015,5,14,5
4931,"2015-05-04",whole milk,2015,5,4,2
2623,"2015-10-10",processed cheese,2015,10,10,7
4581,"2015-04-03",tropical fruit,2015,4,3,6
2635,"2015-06-11",frankfurter,2015,6,11,5
1095,"2015-10-30",packaged fruit vegetables,2015,10,30,6
2990,"2015-05-23",whole milk,2015,5,23,7
2426,"2015-06-05",berries,2015,6,5,6
4555,"2015-11-07",citrus fruit,2015,11,7,7
3635,"2015-09-04",tropical fruit,2015,9,4,6
3058,"2015-05-18",hamburger meat,2015,5,18,2
4391,"2015-03-26",hamburger meat,2015,3,26,5
1306,"2015-06-23",whole milk,2015,6,23,3
1024,"2015-08-10",fish,2015,8,10,2
1295,"2015-07-23",frankfurter,2015,7,23,5
1661,"2015-06-21",packaged fruit vegetables,2015,6,21,1
4591,"2015-05-15",pastry,2015,5,15,6
3169,"2015-06-14",other vegetables,2015,6,14,1
3915,"2015-05-21",misc. beverages,2015,5,21,5
1127,"2015-01-14",frankfurter,2015,1,14,4
4828,"2015-08-08",sparkling wine,2015,8,8,7
3683,"2015-06-10",specialty bar,2015,6,10,4
1971,"2015-09-18",sausage,2015,9,18,6
3014,"2015-11-11",curd cheese,2015,11,11,4
3779,"2015-09-15",frankfurter,2015,9,15,3
2489,"2015-05-04",whole milk,2015,5,4,2
3564,"2015-06-27",newspapers,2015,6,27,7
4092,"2015-09-30",berries,2015,9,30,4
3221,"2015-01-13",curd,2015,1,13,3
1279,"2015-09-06",tropical fruit,2015,9,6,1
2581,"2015-08-22",soda,2015,8,22,7
2295,"2015-02-25",rolls buns,2015,2,25,4
4760,"2015-02-22",canned beer,2015,2,22,1
3649,"2015-01-16",canned beer,2015,1,16,6
1075,"2015-11-19",frankfurter,2015,11,19,5
3987,"2015-08-19",other vegetables,2015,8,19,4
4106,"2015-08-25",whole milk,2015,8,25,3
4338,"2015-06-24",whole milk,2015,6,24,4
4166,"2015-11-06",citrus fruit,2015,11,6,6
1211,"2015-03-10",frankfurter,2015,3,10,3
3954,"2015-01-21",frankfurter,2015,1,21,4
3928,"2015-07-18",butter milk,2015,7,18,7
3827,"2015-09-30",hamburger meat,2015,9,30,4
4699,"2015-02-08",pasta,2015,2,8,1
4747,"2015-06-08",other vegetables,2015,6,8,2
3028,"2015-06-09",sausage,2015,6,9,3
2851,"2015-03-16",rolls buns,2015,3,16,2
4417,"2015-02-25",grapes,2015,2,25,4
3822,"2015-03-07",root vegetables,2015,3,7,7
2288,"2015-05-31",coffee,2015,5,31,1
2184,"2015-06-30",popcorn,2015,6,30,3
4554,"2015-08-27",whole milk,2015,8,27,5
3361,"2015-03-05",tropical fruit,2015,3,5,5
2999,"2015-04-17",beef,2015,4,17,6
2614,"2015-06-25",whole milk,2015,6,25,5
4064,"2015-06-05",frankfurter,2015,6,5,6
3567,"2015-10-04",tropical fruit,2015,10,4,1
2587,"2015-05-07",canned beer,2015,5,7,5
3783,"2015-06-17",finished products,2015,6,17,4
1923,"2015-02-14",beverages,2015,2,14,7
4835,"2015-02-19",hamburger meat,2015,2,19,5
1514,"2015-08-24",whole milk,2015,8,24,2
3154,"2015-06-22",finished products,2015,6,22,2
1313,"2015-12-25",other vegetables,2015,12,25,6
2794,"2015-07-18",ham,2015,7,18,7
2359,"2015-04-09",other vegetables,2015,4,9,5
2238,"2015-03-09",curd,2015,3,9,2
3795,"2015-01-17",bottled beer,2015,1,17,7
3724,"2015-11-26",curd,2015,11,26,5
1152,"2015-03-05",whole milk,2015,3,5,5
4559,"2015-03-17",whole milk,2015,3,17,3
3922,"2015-02-27",dessert,2015,2,27,6
1709,"2015-04-22",sausage,2015,4,22,4
2219,"2015-04-17",other vegetables,2015,4,17,6
2206,"2015-10-17",ham,2015,10,17,7
1752,"2015-04-06",other vegetables,2015,4,6,2
3942,"2015-11-10",other vegetables,2015,11,10,3
3296,"2015-08-17",soda,2015,8,17,2
2257,"2015-02-05",herbs,2015,2,5,5
4313,"2015-07-28",frankfurter,2015,7,28,3
2001,"2015-08-21",rolls buns,2015,8,21,6
2449,"2015-07-08",curd,2015,7,8,4
4914,"2015-04-12",frankfurter,2015,4,12,1
2764,"2015-07-24",other vegetables,2015,7,24,6
4187,"2015-05-09",dog food,2015,5,9,7
1392,"2015-04-20",specialty bar,2015,4,20,2
3427,"2015-04-28",curd,2015,4,28,3
1411,"2015-02-20",frankfurter,2015,2,20,6
3390,"2015-11-14",soda,2015,11,14,7
4787,"2015-08-01",beef,2015,8,1,7
3310,"2015-01-17",canned beer,2015,1,17,7
1782,"2015-10-10",pork,2015,10,10,7
3375,"2015-04-26",frankfurter,2015,4,26,1
2760,"2015-01-07",sausage,2015,1,7,4
4249,"2015-09-13",canned beer,2015,9,13,1
2904,"2015-06-06",specialty chocolate,2015,6,6,7
4090,"2015-02-26",curd,2015,2,26,5
3060,"2015-07-05",canned beer,2015,7,5,1
3768,"2015-10-07",whole milk,2015,10,7,4
1232,"2015-01-27",rolls buns,2015,1,27,3
1360,"2015-10-23",pork,2015,10,23,6
1107,"2015-10-01",citrus fruit,2015,10,1,5
2865,"2015-11-04",pot plants,2015,11,4,4
2958,"2015-06-14",rolls buns,2015,6,14,1
2448,"2015-07-12",butter,2015,7,12,1
1222,"2015-09-24",condensed milk,2015,9,24,5
2943,"2015-06-20",sausage,2015,6,20,7
2270,"2015-08-11",whole milk,2015,8,11,3
3812,"2015-07-21",sausage,2015,7,21,3
1482,"2015-11-22",beverages,2015,11,22,1
4720,"2015-02-22",beverages,2015,2,22,1
1344,"2015-09-04",bottled water,2015,9,4,6
2397,"2015-10-04",newspapers,2015,10,4,1
4182,"2015-05-12",cleaner,2015,5,12,3
4487,"2015-07-10",sausage,2015,7,10,6
3467,"2015-12-24",newspapers,2015,12,24,5
2443,"2015-11-15",sausage,2015,11,15,1
2749,"2015-01-27",misc. beverages,2015,1,27,3
4389,"2015-04-13",white wine,2015,4,13,2
1674,"2015-12-04",sausage,2015,12,4,6
4262,"2015-10-16",meat,2015,10,16,6
2082,"2015-04-07",frankfurter,2015,4,7,3
4494,"2015-01-06",ice cream,2015,1,6,3
2460,"2015-09-28",canned beer,2015,9,28,2
4509,"2015-11-29",tropical fruit,2015,11,29,1
2267,"2015-07-23",meat,2015,7,23,5
4891,"2015-09-05",whole milk,2015,9,5,7
3962,"2015-09-20",sausage,2015,9,20,1
4964,"2015-07-18",frankfurter,2015,7,18,7
2914,"2015-11-30",meat,2015,11,30,2
2808,"2015-05-05",root vegetables,2015,5,5,3
1085,"2015-08-15",root vegetables,2015,8,15,7
3808,"2015-08-18",whole milk,2015,8,18,3
4149,"2015-01-07",citrus fruit,2015,1,7,4
2331,"2015-06-05",citrus fruit,2015,6,5,6
4475,"2015-04-03",other vegetables,2015,4,3,6
2761,"2015-04-25",citrus fruit,2015,4,25,7
2620,"2015-12-14",sausage,2015,12,14,2
3206,"2015-10-13",frankfurter,2015,10,13,3
1226,"2015-04-13",hard cheese,2015,4,13,2
1395,"2015-03-07",cream cheese ,2015,3,7,7
2465,"2015-06-07",turkey,2015,6,7,1
3572,"2015-07-09",pork,2015,7,9,5
4387,"2015-05-08",whole milk,2015,5,8,6
1555,"2015-03-27",rolls buns,2015,3,27,6
1181,"2015-11-16",sausage,2015,11,16,2
2814,"2015-05-11",ice cream,2015,5,11,2
2794,"2015-09-16",liquor,2015,9,16,4
2912,"2015-01-28",pip fruit,2015,1,28,4
4667,"2015-01-12",root vegetables,2015,1,12,2
2235,"2015-10-25",soda,2015,10,25,1
2353,"2015-05-02",soda,2015,5,2,7
3449,"2015-03-08",sausage,2015,3,8,1
1058,"2015-10-11",root vegetables,2015,10,11,1
1027,"2015-05-17",pork,2015,5,17,1
3302,"2015-05-22",pork,2015,5,22,6
2229,"2015-05-30",chocolate,2015,5,30,7
2188,"2015-08-15",fruit vegetable juice,2015,8,15,7
1547,"2015-04-18",pickled vegetables,2015,4,18,7
1649,"2015-06-30",bottled water,2015,6,30,3
3254,"2015-09-10",frankfurter,2015,9,10,5
2818,"2015-11-07",tropical fruit,2015,11,7,7
2703,"2015-05-08",canned beer,2015,5,8,6
3332,"2015-01-31",root vegetables,2015,1,31,7
2473,"2015-07-01",meat,2015,7,1,4
2810,"2015-12-30",frankfurter,2015,12,30,4
1033,"2015-04-22",tropical fruit,2015,4,22,4
4222,"2015-05-27",tropical fruit,2015,5,27,4
3679,"2015-09-21",citrus fruit,2015,9,21,2
2212,"2015-08-27",hamburger meat,2015,8,27,5
1507,"2015-06-22",chicken,2015,6,22,2
2870,"2015-01-22",chicken,2015,1,22,5
3429,"2015-04-25",frankfurter,2015,4,25,7
4148,"2015-04-09",canned beer,2015,4,9,5
2970,"2015-12-30",turkey,2015,12,30,4
2013,"2015-08-30",packaged fruit vegetables,2015,8,30,1
3967,"2015-05-30",pasta,2015,5,30,7
2885,"2015-05-15",citrus fruit,2015,5,15,6
3935,"2015-07-02",sausage,2015,7,2,5
3283,"2015-05-01",whole milk,2015,5,1,6
3268,"2015-11-06",canned beer,2015,11,6,6
3677,"2015-04-30",citrus fruit,2015,4,30,5
3495,"2015-06-27",liquor (appetizer),2015,6,27,7
1410,"2015-10-04",citrus fruit,2015,10,4,1
2440,"2015-06-06",sausage,2015,6,6,7
4088,"2015-01-13",chicken,2015,1,13,3
2469,"2015-09-23",hamburger meat,2015,9,23,4
4229,"2015-03-06",sausage,2015,3,6,6
2728,"2015-08-02",beef,2015,8,2,1
4694,"2015-01-25",citrus fruit,2015,1,25,1
2836,"2015-12-29",UHT-milk,2015,12,29,3
1311,"2015-02-12",candy,2015,2,12,5
1760,"2015-01-23",newspapers,2015,1,23,6
3656,"2015-03-21",beef,2015,3,21,7
3720,"2015-05-28",sausage,2015,5,28,5
2996,"2015-09-26",frankfurter,2015,9,26,7
1949,"2015-07-22",canned beer,2015,7,22,4
4498,"2015-02-11",bottled beer,2015,2,11,4
2447,"2015-12-28",onions,2015,12,28,2
1952,"2015-03-23",tropical fruit,2015,3,23,2
4099,"2015-01-27",bottled water,2015,1,27,3
1804,"2015-03-12",beef,2015,3,12,5
1510,"2015-05-16",sausage,2015,5,16,7
2879,"2015-04-18",hair spray,2015,4,18,7
4899,"2015-03-12",chicken,2015,3,12,5
4326,"2015-09-29",pork,2015,9,29,3
1670,"2015-05-17",ice cream,2015,5,17,1
1117,"2015-05-24",meat,2015,5,24,1
1346,"2015-03-04",other vegetables,2015,3,4,4
1178,"2015-11-15",bottled water,2015,11,15,1
1649,"2015-06-25",tropical fruit,2015,6,25,5
4651,"2015-06-21",photo film,2015,6,21,1
4243,"2015-04-21",sausage,2015,4,21,3
4429,"2015-07-21",grapes,2015,7,21,3
4645,"2015-07-25",domestic eggs,2015,7,25,7
4019,"2015-07-24",rolls buns,2015,7,24,6
4459,"2015-04-26",tropical fruit,2015,4,26,1
3006,"2015-12-27",chicken,2015,12,27,1
1834,"2015-09-17",frankfurter,2015,9,17,5
3236,"2015-07-14",berries,2015,7,14,3
2666,"2014-05-26",chocolate,2014,5,26,2
2717,"2014-01-02",fruit vegetable juice,2014,1,2,5
1095,"2014-03-25",shopping bags,2014,3,25,3
1480,"2014-12-22",bottled water,2014,12,22,2
2865,"2014-09-23",processed cheese,2014,9,23,3
1482,"2014-10-22",brown bread,2014,10,22,4
3184,"2014-04-20",berries,2014,4,20,1
1468,"2014-08-21",salty snack,2014,8,21,5
4077,"2014-12-25",sauces,2014,12,25,5
3888,"2014-10-16",butter,2014,10,16,5
3972,"2014-04-07",butter,2014,4,7,2
2967,"2014-05-27",oil,2014,5,27,3
3380,"2014-08-16",other vegetables,2014,8,16,7
2207,"2014-12-03",coffee,2014,12,3,4
3600,"2014-04-08",pickled vegetables,2014,4,8,3
4618,"2014-07-09",sliced cheese,2014,7,9,4
2680,"2014-03-16",frozen meals,2014,3,16,1
1651,"2014-03-28",dishes,2014,3,28,6
2934,"2014-03-22",fruit vegetable juice,2014,3,22,7
2860,"2014-09-15",waffles,2014,9,15,2
1307,"2014-11-14",rolls buns,2014,11,14,6
4628,"2014-12-03",UHT-milk,2014,12,3,4
1240,"2014-11-27",shopping bags,2014,11,27,5
3666,"2014-06-14",bottled water,2014,6,14,7
4008,"2014-10-14",shopping bags,2014,10,14,3
3386,"2014-08-07",baking powder,2014,8,7,5
2472,"2014-06-19",sugar,2014,6,19,5
1323,"2014-06-18",whole milk,2014,6,18,4
1654,"2014-09-08",butter,2014,9,8,2
3620,"2014-05-17",berries,2014,5,17,7
4952,"2014-09-03",specialty chocolate,2014,9,3,4
3966,"2014-01-07",canned beer,2014,1,7,3
1964,"2014-03-23",other vegetables,2014,3,23,1
2504,"2014-12-17",waffles,2014,12,17,4
4500,"2014-02-04",cat food,2014,2,4,3
1454,"2014-05-03",fruit vegetable juice,2014,5,3,7
1066,"2014-02-01",bottled beer,2014,2,1,7
3692,"2014-01-09",salty snack,2014,1,9,5
2445,"2014-04-17",pastry,2014,4,17,5
1860,"2014-01-31",rolls buns,2014,1,31,6
1153,"2014-08-18",cake bar,2014,8,18,2
3317,"2014-08-10",soda,2014,8,10,1
1957,"2014-03-20",berries,2014,3,20,5
4303,"2014-11-28",specialty bar,2014,11,28,6
3556,"2014-10-04",brown bread,2014,10,4,7
1282,"2014-05-04",shopping bags,2014,5,4,1
4034,"2014-08-29",specialty bar,2014,8,29,6
2807,"2014-07-17",beverages,2014,7,17,5
2232,"2014-01-25",dessert,2014,1,25,7
2303,"2014-06-12",hair spray,2014,6,12,5
2050,"2014-10-20",rolls buns,2014,10,20,2
3381,"2014-12-05",coffee,2014,12,5,6
3402,"2014-05-17",coffee,2014,5,17,7
3072,"2014-11-12",dessert,2014,11,12,4
3381,"2014-10-30",hygiene articles,2014,10,30,5
1367,"2014-01-31",bottled beer,2014,1,31,6
1895,"2014-01-23",whipped sour cream,2014,1,23,5
3267,"2014-11-14",soda,2014,11,14,6
4192,"2014-02-17",canned beer,2014,2,17,2
2274,"2014-12-04",curd,2014,12,4,5
4430,"2014-10-03",whipped sour cream,2014,10,3,6
4329,"2014-10-23",dessert,2014,10,23,5
1922,"2014-05-30",whipped sour cream,2014,5,30,6
2154,"2014-08-14",onions,2014,8,14,5
4523,"2014-08-06",canned beer,2014,8,6,4
1136,"2014-05-02",flower (seeds),2014,5,2,6
3439,"2014-04-27",soda,2014,4,27,1
2980,"2014-11-27",shopping bags,2014,11,27,5
2509,"2014-08-17",other vegetables,2014,8,17,1
4845,"2014-07-10",fruit vegetable juice,2014,7,10,5
3589,"2014-07-24",fruit vegetable juice,2014,7,24,5
4505,"2014-01-18",other vegetables,2014,1,18,7
2744,"2014-05-06",frozen vegetables,2014,5,6,3
4236,"2014-03-04",curd,2014,3,4,3
3928,"2014-08-05",shopping bags,2014,8,5,3
1207,"2014-04-28",pickled vegetables,2014,4,28,2
2578,"2014-04-19",rolls buns,2014,4,19,7
1553,"2014-05-09",soda,2014,5,9,6
3942,"2014-01-01",yogurt,2014,1,1,4
1583,"2014-01-27",dessert,2014,1,27,2
2133,"2014-05-24",cat food,2014,5,24,7
4860,"2014-11-14",newspapers,2014,11,14,6
4548,"2014-10-09",onions,2014,10,9,5
2610,"2014-01-01",bottled beer,2014,1,1,4
2344,"2014-02-22",napkins,2014,2,22,7
2920,"2014-05-12",rolls buns,2014,5,12,2
3847,"2014-03-14",domestic eggs,2014,3,14,6
1991,"2014-10-31",butter,2014,10,31,6
2241,"2014-02-17",frozen vegetables,2014,2,17,2
2794,"2014-02-18",whole milk,2014,2,18,3
3871,"2014-10-05",salty snack,2014,10,5,1
4085,"2014-04-15",potato products,2014,4,15,3
3964,"2014-03-11",bottled water,2014,3,11,3
1111,"2014-10-24",flour,2014,10,24,6
1294,"2014-08-14",soda,2014,8,14,5
1338,"2014-08-11",whole milk,2014,8,11,2
1079,"2014-10-07",bottled water,2014,10,7,3
1794,"2014-04-14",yogurt,2014,4,14,2
4715,"2014-11-10",margarine,2014,11,10,2
4694,"2014-06-01",whipped sour cream,2014,6,1,1
4156,"2014-08-19",candles,2014,8,19,3
4264,"2014-03-16",butter milk,2014,3,16,1
1732,"2014-04-03",canned beer,2014,4,3,5
1161,"2014-01-26",newspapers,2014,1,26,1
4058,"2014-02-07",flour,2014,2,7,6
4183,"2014-10-26",ice cream,2014,10,26,1
4371,"2014-03-29",canned beer,2014,3,29,7
1808,"2015-07-21",tropical fruit,2015,7,21,3
2552,"2015-01-05",whole milk,2015,1,5,2
2300,"2015-09-19",pip fruit,2015,9,19,7
1187,"2015-12-12",other vegetables,2015,12,12,7
3037,"2015-02-01",whole milk,2015,2,1,1
4941,"2015-02-14",rolls buns,2015,2,14,7
4501,"2015-05-08",other vegetables,2015,5,8,6
3803,"2015-12-23",pot plants,2015,12,23,4
2762,"2015-03-20",whole milk,2015,3,20,6
4119,"2015-02-12",tropical fruit,2015,2,12,5
1340,"2015-02-24",citrus fruit,2015,2,24,3
2193,"2015-04-14",beef,2015,4,14,3
